Date,Institution,Ticker,Net Tangible Assets,Shareholders Funds,Return on shareholder funds,EBITDA,Return on Total Assets,Liquidity ratio, Shareholders liquidity ratio,Solvency ratio ,Total asset,Year
31/12/2023,HSBC HOLDINGS PLC,HSBA.L,743946000,151185000,15.76,23973000,1,0.8,0.25,6.34,2385147000,2023
31/12/2022,HSBC HOLDINGS PLC,HSBA.L,581408000,161987000,8.94,12234000,0.59,0.74,0.37,6.61,2451374000,2022
31/12/2021,HSBC HOLDINGS PLC,HSBA.L,609711000,152761000,9.14,12151000,0.64,0.81,0.32,6.99,2185239000,2021
31/12/2020,HSBC HOLDINGS PLC,HSBA.L,687978000,150037000,4.28,6049000,0.29,0.8,0.27,6.87,2184120000,2020
31/12/2019,HSBC HOLDINGS PLC,HSBA.L,153661442,145212542,6.93,17987640,0.49,1.07,6.14,7.1,2046391318,2019
31/12/2018,HSBC HOLDINGS PLC,HSBA.L,155068965,152232759,10.24,17102664,0.78,1.07,6.94,7.59,2004799373,2018
31/12/2017,HSBC HOLDINGS PLC,HSBA.L,148082384,146332644,8.68,12695607,0.68,1.08,7.66,7.85,1864939358,2017
31/12/2016,HSBC HOLDINGS PLC,HSBA.L,152870807,147980224,3.9,3859005,0.3,1.08,6.67,7.69,1924935971,2016
31/12/2015,HSBC HOLDINGS PLC,HSBA.L,184830318,133792589,9.55,12779923,0.78,1.12,1.98,8.2,1632226512,2015
31/12/2014,HSBC HOLDINGS PLC,HSBA.L,131845700,128248573,9.34,11979734,0.71,0.91,6.03,7.59,1689308664,2014
31/12/2013,HSBC HOLDINGS PLC,HSBA.L,119890720,114990642,11.85,14988831,0.84,0.9,5.01,7.13,1612822556,2013
31/12/2012,HSBC HOLDINGS PLC,HSBA.L,118745617,112660105,11.28,12704629,0.77,1.06,4.61,6.8,1656436789,2012
31/12/2011,HSBC HOLDINGS PLC,HSBA.L,113360145,106874075,13.17,16090985,0.86,0.96,4.25,6.5,1644410913,2011
31/12/2010,HSBC HOLDINGS PLC,HSBA.L,203178131,98942964,12.29,13880692,0.78,0.78,0.8,6.31,1567790126,2010
31/12/2009,HSBC HOLDINGS PLC,HSBA.L,124231222,84005821,5.22,-50573410,0.3,0.77,1.43,5.74,1464147625,2009
31/12/2008,HSBC HOLDINGS PLC,HSBA.L,105813280,71454182,8.98,-59128456,0.37,0.92,1.34,4.1,1742718748,2008
31/12/2007,HSBC HOLDINGS PLC,HSBA.L,66235135,70329670,17.27,-33886798,1.03,0.92,4.45,5.95,1181326710,2007
31/12/2006,HSBC HOLDINGS PLC,HSBA.L,43943900,58720621,19.22,-26166973,1.19,0.23,13.66,6.18,950724505,2006
31/12/2005,HSBC HOLDINGS PLC,HSBA.L,41857526,57214586,21.34,-24918453,1.4,0.21,14.37,6.54,874866030,2005
31/12/2001,HSBC HOLDINGS PLC,HSBA.L,29748855,36401415,15.25,-11579020,1.15,1.05,10.51,7.54,482778549,2001
31/12/2023,BARCLAY PLC,BARC.L,654295000,71864000,9.12,8755000,0.44,0.63,0.12,4.86,1477487000,2023
31/12/2022,BARCLAY PLC,BARC.L,651154000,69260000,10.12,8792000,0.46,0.59,0.12,4.58,1513699000,2022
31/12/2021,BARCLAY PLC,BARC.L,600381000,70211000,11.98,14556000,0.61,0.62,0.13,5.07,1384285000,2021
31/12/2020,BARCLAY PLC,BARC.L,61253000,66882000,4.58,4776000,0.23,1.04,28.84,4.96,1349514000,2020
31/12/2019,BARCLAY PLC,BARC.L,77338000,65660000,6.64,5877000,0.38,1.07,3.08,5.76,1140229000,2019
31/12/2018,BARCLAY PLC,BARC.L,76731000,63779000,5.48,4686000,0.31,1.06,3.05,5.63,1133283000,2018
31/12/2017,BARCLAY PLC,BARC.L,62652000,66016000,5.36,4525000,0.31,1.05,14.72,5.83,1133248000,2017
31/12/2016,BARCLAY PLC,BARC.L,68192000,71365000,4.53,3923000,0.27,1.05,15.67,5.88,1213126000,2016
31/12/2015,BARCLAY PLC,BARC.L,89793000,65864000,3.15,2711388,0.19,1.07,2.05,5.88,1120012000,2015
31/12/2014,BARCLAY PLC,BARC.L,98017000,65958000,3.42,3463000,0.17,1.06,1.64,4.86,1357906000,2014
31/12/2013,BARCLAY PLC,BARC.L,62481000,63949000,4.48,4134000,0.22,1.04,10.29,4.87,1312267000,2013
31/12/2012,BARCLAY PLC,BARC.L,58717000,62894000,0.16,1203000,0.01,1.03,16.83,4.22,1490747000,2012
31/12/2011,BARCLAY PLC,BARC.L,59895000,65196000,9.02,7606000,0.38,1.03,25.62,4.17,1563527000,2011
31/12/2010,BARCLAY PLC,BARC.L,83890000,62262000,9.74,7392000,0.41,0.71,2.05,4.18,1489645000,2010
31/12/2009,BARCLAY PLC,BARC.L,534136000,58478000,7.84,-25927000,0.33,0.11,0.12,4.24,1378929000,2009
31/12/2008,BARCLAY PLC,BARC.L,1098745000,47411000,12.82,-20331000,0.3,0.04,0.04,2.31,2052980000,2008
31/12/2007,BARCLAY PLC,BARC.L,45552000,32476000,21.79,-17070000,0.58,1.04,1.52,2.65,1227361000,2007
31/12/2006,BARCLAY PLC,BARC.L,42688000,27390000,26.05,-15640000,0.72,0.26,1.21,2.75,996787000,2006
31/12/2005,BARCLAY PLC,BARC.L,409947000,24430000,21.61,-10151000,0.57,1.47,0.06,2.64,924357000,2005
31/12/2004,BARCLAY PLC,BARC.L,37247000,26696000,17.24,-8462000,0.88,1.06,1.8,5.11,522089000,2004
31/12/2023,LLOYDS BANKING GROUP PLC,LLOY.L,356801000,47365000,15.84,7712000,0.85,1.04,0.16,5.37,881453000,2023
31/12/2022,LLOYDS BANKING GROUP PLC,LLOY.L,333396000,47521000,14.58,9324000,0.79,1.03,0.17,5.41,877829000,2022
31/12/2021,LLOYDS BANKING GROUP PLC,LLOY.L,359057000,53152000,12.99,9727000,0.78,1.03,25.21,6,886525000,2021
31/12/2020,LLOYDS BANKING GROUP PLC,LLOY.L,44913000,49413000,2.48,22154000,0.14,1.04,2.12,5.67,871269000,2020
31/12/2019,LLOYDS BANKING GROUP PLC,LLOY.L,64272000,47806000,9.19,7023000,0.53,1.06,2.34,5.73,833893000,2019
31/12/2018,LLOYDS BANKING GROUP PLC,LLOY.L,65990000,50199000,11.87,9262000,0.75,1.06,0.2,6.29,797598000,2018
31/12/2017,LLOYDS BANKING GROUP PLC,LLOY.L,290939000,49143000,10.73,7611000,0.65,1.53,1.91,6.05,812109000,2017
31/12/2016,LLOYDS BANKING GROUP PLC,LLOY.L,72655000,48815000,8.68,7333000,0.52,1.07,1.6,5.97,817793000,2016
31/12/2015,LLOYDS BANKING GROUP PLC,LLOY.L,72523000,46980000,3.5,4105000,0.2,0.98,10.6,5.82,806688000,2015
31/12/2014,LLOYDS BANKING GROUP PLC,LLOY.L,50524000,49903000,3.53,3654000,0.21,1.03,7.24,5.84,854896000,2014
31/12/2013,LLOYDS BANKING GROUP PLC,LLOY.L,40477000,39336000,1.06,2301000,0.05,1.03,1.16,4.64,847030000,2013
31/12/2012,LLOYDS BANKING GROUP PLC,LLOY.L,78556000,44684000,-1.28,6626000,-0.06,1.07,12.07,4.83,924552000,2012
31/12/2011,LLOYDS BANKING GROUP PLC,LLOY.L,45243000,46594000,-7.6,6714000,-0.36,1.02,0.58,4.8,970546000,2011
31/12/2010,LLOYDS BANKING GROUP PLC,LLOY.L,122789000,46902000,0.6,14156000,0.03,1.12,37,4.73,991574000,2010
31/12/2009,LLOYDS BANKING GROUP PLC,LLOY.L,39196000,44107000,2.36,-37472000,0.1,0.27,0.67,4.29,1027255000,2009
31/12/2008,LLOYDS BANKING GROUP PLC,LLOY.L,26503000,11566000,6.98,-15247000,0.19,1.03,0.81,2.65,436033000,2008
31/12/2007,LLOYDS BANKING GROUP PLC,LLOY.L,25177000,12425000,32.19,-14948000,1.13,1.06,2.78,3.52,353346000,2007
31/12/2006,LLOYDS BANKING GROUP PLC,LLOY.L,13129000,11507000,36.92,-15652000,1.24,0.24,7.03,3.35,343598000,2006
31/12/2005,LLOYDS BANKING GROUP PLC,LLOY.L,9720000,10630000,35.94,-19141000,1.23,1,0.34,3.43,309754000,2005
31/12/2004,LLOYDS BANKING GROUP PLC,LLOY.L,39527000,10573000,33.04,-6752000,1.55,1.19,,4.7,225079000,2004
31/12/2023,NATWEST GROUP PLC,NWG.L,105461000,37188000,16.61,-4410000,0.89,1.18,0.49,5.37,692673000,2023
31/12/2022,NATWEST GROUP PLC,NWG.L,95323000,36496000,14.06,-4369000,0.71,1.15,0.55,5.07,720053000,2022
31/12/2021,NATWEST GROUP PLC,NWG.L,103747000,41803000,9.65,-3195000,0.52,1.15,0.61,5.35,781992000,2021
31/12/2020,NATWEST GROUP PLC,NWG.L,37169000,43824000,-18.04,-7614000,-0.99,0.98,,5.48,799491000,2020
31/12/2019,NATWEST GROUP PLC,NWG.L,46913000,43556000,9.72,6148000,0.59,1.06,4.36,6.02,723039000,2019
31/12/2018,NATWEST GROUP PLC,NWG.L,54032000,57025000,5.89,3630000,0.48,1.08,15.74,8.21,694235000,2018
31/12/2017,NATWEST GROUP PLC,NWG.L,51019000,49093000,4.56,2922000,0.3,1.07,5.8,6.65,738056000,2017
31/12/2016,NATWEST GROUP PLC,NWG.L,83195000,49404000,-8.26,-2878000,-0.51,1.11,1.23,6.19,798656000,2016
31/12/2015,NATWEST GROUP PLC,NWG.L,67734000,54147000,-4.99,-1866000,-0.33,1.08,2.69,6.64,815408000,2015
31/12/2014,NATWEST GROUP PLC,NWG.L,55490000,60192000,4.39,3573000,0.25,1.05,19.55,5.73,1050763000,2014
31/12/2013,NATWEST GROUP PLC,NWG.L,77954000,59215000,-13.92,1599000,-0.8,1.07,1.9,5.76,1027878000,2013
31/12/2012,NATWEST GROUP PLC,NWG.L,61928000,70448000,-7.33,1743000,-0.39,0.98,14.02,5.37,1312295000,2012
31/12/2011,NATWEST GROUP PLC,NWG.L,91698000,76053000,-1.01,1109000,-0.05,1.05,2.49,5.05,1506867000,2011
31/12/2010,NATWEST GROUP PLC,NWG.L,628668000,76851000,-0.52,1821000,-0.03,1.75,0.14,5.29,1453576000,2010
31/12/2009,NATWEST GROUP PLC,NWG.L,82558000,94631000,-2.74,-38476000,-0.15,1.04,16.39,5.58,1696486000,2009
31/12/2008,NATWEST GROUP PLC,NWG.L,66646000,80498000,-50.52,-74244000,-1.69,0.46,12.99,3.35,2401652000,2008
31/12/2007,NATWEST GROUP PLC,NWG.L,48940000,91426000,10.83,-15065000,0.52,1.02,15.22,4.81,1900519000,2007
31/12/2006,NATWEST GROUP PLC,NWG.L,31842000,45490000,20.19,-10802000,1.05,1.02,8.65,5.22,871432000,2006
31/12/2005,NATWEST GROUP PLC,NWG.L,58690000,37544000,21.14,-17672000,1.02,1.06,0.91,4.83,776827000,2005
31/12/2004,NATWEST GROUP PLC,NWG.L,45355000,35694000,19.38,-12548000,1.19,1.06,1.31,6.12,583467000,2004
31/12/2023,STANDARD CHARTER PLC,STAN.L,125574000,39524000,10.12,-140000,0.62,0.99,0.43,6.12,645875000,2023
31/12/2022,STANDARD CHARTER PLC,STAN.L,99493000,41330000,8.57,-783000,0.52,0.91,0.66,6.1,677537000,2022
31/12/2021,STANDARD CHARTER PLC,STAN.L,93504000,38886000,6.36,-1279000,0.4,0.93,0.66,6.36,611568000,2021
31/12/2020,STANDARD CHARTER PLC,STAN.L,34256020,37128742,8.62,3201347,0.55,0.85,114.51,6.43,577508600,2020
31/12/2019,STANDARD CHARTER PLC,STAN.L,47897197,38182846,7.33,4360868,0.52,1.07,2.79,7.03,542958999,2019
31/12/2018,STANDARD CHARTER PLC,STAN.L,49244515,39460815,5.06,3134012,0.37,1.09,2.87,7.31,539782132,2018
31/12/2017,STANDARD CHARTER PLC,STAN.L,47308091,38313120,4.66,3695460,0.36,0.84,3.02,7.81,490682592,2017
31/12/2016,STANDARD CHARTER PLC,STAN.L,36497002,39437510,0.84,1036634,0.06,1.06,44.6,7.52,524146540,2016
31/12/2015,STANDARD CHARTER PLC,STAN.L,45163585,32860529,-3.14,3339429,-0.24,1.1,2.13,7.57,433843392,2015
31/12/2014,STANDARD CHARTER PLC,STAN.L,41843134,29973706,9.06,5094593,0.58,1.09,1.97,6.44,465538382,2014
31/12/2013,STANDARD CHARTER PLC,STAN.L,25006944,28280504,12.95,5613717,0.9,1.05,72.29,6.95,407160539,2013
31/12/2012,STANDARD CHARTER PLC,STAN.L,24375884,28332820,14.93,5440172,1.08,1.05,52.34,7.24,391582897,2012
31/12/2011,STANDARD CHARTER PLC,STAN.L,33492053,26623126,16.37,5414709,1.13,1.09,2.33,6.91,385477125,2011
